event time,asset,transaction time,ask,ask size,bid,bid size
1747689817284,BTCUSDC,1747689817300,105306.1,2.857,101575.3,0.000
1747689817307,DOGEUSDT,1747689817317,0.223660,42741,0.219480,86822
1747689817321,BTCUSDT,1747689817325,105277.80,14.758,5000.00,0.756
1747689817334,ETHUSDC,1747689817336,2516.47,48.023,2472.60,71.337
1747689817308,MOODENGUSDT,1747689817338,0.2465000,4603,0.2419400,18878
1747689817332,XRPUSDT,1747689817339,2.3755,15140.6,2.3421,1949.2
1747689817342,SOLUSDT,1747689817361,165.7000,501.77,132.5600,1.35
1747689817374,1000PEPEUSDT,1747689817375,0.0132159,227862,0.0129969,0
1747689817379,ETHUSDT,1747689817379,2515.61,134.099,200.00,26.897
1747689817414,BTCUSDC,1747689817420,,,101575.3,0.877
1747689817403,DOGEUSDT,1747689817421,0.223650,86060,0.220500,22076
1747689817425,BTCUSDT,1747689817427,105277.80,14.689,1000.00,64.028
1747689817433,MOODENGUSDT,1747689817441,0.2465000,3418,0.2459700,3093
1747689817439,XRPUSDT,1747689817443,2.3752,15178.5,2.2801,4563.5
1747689817442,ETHUSDC,1747689817467,2516.57,0.071,2512.62,6.615
1747689817472,1000PEPEUSDT,1747689817479,0.0132159,274209,0.0128735,466070
1747689817476,ETHUSDT,1747689817481,2515.61,135.524,2389.82,0.000
1747689817457,SOLUSDT,1747689817488,165.7000,504.99,160.3900,58.54
1747689817512,DOGEUSDT,1747689817523,0.223650,89517,0.222450,349264
1747689817521,BTCUSDT,1747689817530,105277.90,0.014,1000.00,64.028
1747689817546,XRPUSDT,1747689817549,2.3773,14155.2,2.3563,122275.5
1747689817511,MOODENGUSDT,1747689817564,0.2474200,4613,0.2365400,25972
1747689817576,1000PEPEUSDT,1747689817582,0.0132159,275458,0.0131635,386988
1747689817582,ETHUSDT,1747689817583,2515.61,135.903,200.00,26.897
1747689817580,SOLUSDT,1747689817591,165.7000,506.60,160.6400,20.10
1747689817550,ETHUSDC,1747689817598,2516.47,48.026,2498.40,0.000
1747689817562,BTCUSDC,1747689817608,,,84244.9,0.002
1747689817623,DOGEUSDT,1747689817625,0.223650,90392,0.178920,0
1747689817631,BTCUSDT,1747689817632,105277.80,14.738,5000.00,0.756
1747689817647,XRPUSDT,1747689817651,2.3774,13827.9,2.2801,8504.8
1747689817574,MOODENGUSDT,1747689817676,,,0.2398300,11832
1747689817674,1000PEPEUSDT,1747689817683,0.0132202,772,0.0131775,717094
1747689817684,ETHUSDT,1747689817687,2515.61,137.324,200.00,26.897
1747689817694,SOLUSDT,1747689817698,165.7000,506.64,162.3800,313.41
1747689817705,BTCUSDC,1747689817710,105306.1,2.597,84244.9,0.000
1747689817666,ETHUSDC,1747689817714,2516.55,0.010,2467.57,0.078
1747689817723,DOGEUSDT,1747689817728,0.223670,55665,0.222450,349264
1747689817736,BTCUSDT,1747689817736,105281.70,0.858,1000.00,64.028
1747689817741,XRPUSDT,1747689817755,2.3752,14910.2,2.3399,1497.7
1747689817773,1000PEPEUSDT,1747689817786,0.0132174,83159,0.0130269,0
1747689817785,ETHUSDT,1747689817789,2515.81,10.978,2265.39,0.104
1747689817763,MOODENGUSDT,1747689817805,0.2465400,3079,0.2463700,2426
1747689817775,SOLUSDT,1747689817806,165.7300,577.75,132.5600,1.41
1747689817772,BTCUSDC,1747689817817,,,101282.0,1.173
1747689817793,ETHUSDC,1747689817826,2526.31,33.106,2466.41,80.991
1747689817830,DOGEUSDT,1747689817832,0.223650,90392,0.205750,51867
1747689817837,BTCUSDT,1747689817838,105277.80,14.669,1000.00,64.028
1747689817889,ETHUSDT,1747689817890,2515.67,0.008,200.00,26.897
1747689817875,1000PEPEUSDT,1747689817890,0.0132192,5028,0.0125550,1529810
1747689817843,XRPUSDT,1747689817892,,,2.3682,3942.1
1747689817870,MOODENGUSDT,1747689817907,0.2465400,1083,0.2341700,21320
1747689817899,SOLUSDT,1747689817909,165.7000,506.64,132.5600,1.35
1747689817921,BTCUSDC,1747689817929,106885.7,0.933,101506.7,0.000
1747689817938,BTCUSDT,1747689817939,105277.80,14.669,5000.00,0.756
1747689817923,DOGEUSDT,1747689817941,0.223650,90392,0.201540,17401
1747689817910,ETHUSDC,1747689817944,2516.93,1.005,2466.41,119.123
1747689817989,ETHUSDT,1747689817991,2515.61,137.131,200.00,26.897
1747689817986,1000PEPEUSDT,1747689817993,0.0132160,12143,0.0126214,1568764
1747689818008,XRPUSDT,1747689818010,2.3751,0.0,1.9001,4423.5
1747689818006,MOODENGUSDT,1747689818010,0.2467500,2641,0.2341500,29
